cluster_id,top5_crimes,bottom5_crimes
21,"[('MURDER', 0.12916666666666668), ('GANG_VIOLENCE', 0.12916666666666668), ('ROBBERY', 0.11666666666666667), ('SNATCHING', 0.10416666666666667), ('THEFT', 0.0875)]","[('Industrial Hazards', 0.07083333333333333), ('Political Violence', 0.0625), ('Land Grabbing', 0.0625), ('Kidnapping', 0.05), ('ASSAULT', 0.0375)]"
22,"[('MURDER', 0.14691943127962084), ('SNATCHING', 0.11374407582938388), ('Land Grabbing', 0.0947867298578199), ('ROBBERY', 0.0947867298578199), ('THEFT', 0.08056872037914692)]","[('Drug Possession', 0.07109004739336493), ('GANG_VIOLENCE', 0.07109004739336493), ('Kidnapping', 0.07109004739336493), ('Political Violence', 0.07109004739336493), ('Extortion', 0.037914691943127965)]"
23,"[('THEFT', 0.15254237288135594), ('GANG_VIOLENCE', 0.13559322033898305), ('MURDER', 0.11864406779661017), ('SNATCHING', 0.11016949152542373), ('ROBBERY', 0.1016949152542373)]","[('Industrial Hazards', 0.0635593220338983), ('Political Violence', 0.05084745762711865), ('Extortion', 0.046610169491525424), ('Drug Possession', 0.038135593220338986), ('Kidnapping', 0.038135593220338986)]"
24,"[('SNATCHING', 0.13777777777777778), ('MURDER', 0.1288888888888889), ('THEFT', 0.12444444444444444), ('ROBBERY', 0.10222222222222223), ('GANG_VIOLENCE', 0.08888888888888889)]","[('Industrial Hazards', 0.06666666666666667), ('Political Violence', 0.06666666666666667), ('Kidnapping', 0.06222222222222222), ('ASSAULT', 0.044444444444444446), ('Land Grabbing', 0.035555555555555556)]"
25,"[('SNATCHING', 0.1590909090909091), ('MURDER', 0.13636363636363635), ('GANG_VIOLENCE', 0.10795454545454546), ('THEFT', 0.10227272727272728), ('ROBBERY', 0.08522727272727272)]","[('Industrial Hazards', 0.0625), ('ASSAULT', 0.0625), ('Political Violence', 0.056818181818181816), ('Extortion', 0.056818181818181816), ('Land Grabbing', 0.017045454545454544)]"
26,"[('THEFT', 0.14345991561181434), ('ROBBERY', 0.1350210970464135), ('SNATCHING', 0.12236286919831224), ('MURDER', 0.10126582278481013), ('GANG_VIOLENCE', 0.08860759493670886)]","[('Extortion', 0.06329113924050633), ('ASSAULT', 0.05485232067510549), ('Industrial Hazards', 0.05063291139240506), ('Kidnapping', 0.046413502109704644), ('Political Violence', 0.03375527426160337)]"
27,"[('THEFT', 0.1276595744680851), ('MURDER', 0.12411347517730496), ('ROBBERY', 0.1099290780141844), ('SNATCHING', 0.0851063829787234), ('Kidnapping', 0.08156028368794327)]","[('Extortion', 0.0673758865248227), ('Land Grabbing', 0.0673758865248227), ('Drug Possession', 0.06382978723404255), ('ASSAULT', 0.06028368794326241), ('Industrial Hazards', 0.06028368794326241)]"
28,"[('ROBBERY', 0.14344262295081966), ('GANG_VIOLENCE', 0.14344262295081966), ('SNATCHING', 0.12704918032786885), ('MURDER', 0.09836065573770492), ('Drug Possession', 0.0860655737704918)]","[('Political Violence', 0.06557377049180328), ('Land Grabbing', 0.06147540983606557), ('Kidnapping', 0.04918032786885246), ('ASSAULT', 0.040983606557377046), ('Industrial Hazards', 0.036885245901639344)]"
29,"[('THEFT', 0.1566265060240964), ('SNATCHING', 0.1285140562248996), ('GANG_VIOLENCE', 0.12048192771084337), ('MURDER', 0.12048192771084337), ('ROBBERY', 0.10441767068273092)]","[('Industrial Hazards', 0.05622489959839357), ('Extortion', 0.04819277108433735), ('Political Violence', 0.04819277108433735), ('Land Grabbing', 0.04417670682730924), ('Drug Possession', 0.0321285140562249)]"
30,"[('SNATCHING', 0.13406593406593406), ('ROBBERY', 0.12747252747252746), ('Industrial Hazards', 0.10989010989010989), ('MURDER', 0.1076923076923077), ('Drug Possession', 0.1010989010989011)]","[('Political Violence', 0.06373626373626373), ('Kidnapping', 0.06153846153846154), ('Land Grabbing', 0.05934065934065934), ('Extortion', 0.04395604395604396), ('ASSAULT', 0.03956043956043956)]"
31,"[('ROBBERY', 0.1276595744680851), ('GANG_VIOLENCE', 0.11992263056092843), ('SNATCHING', 0.11992263056092843), ('MURDER', 0.11798839458413926), ('Industrial Hazards', 0.1102514506769826)]","[('Land Grabbing', 0.059961315280464215), ('Extortion', 0.05222437137330754), ('Political Violence', 0.048355899419729204), ('THEFT', 0.04642166344294004), ('ASSAULT', 0.04448742746615087)]"
32,"[('GANG_VIOLENCE', 0.13658536585365855), ('ROBBERY', 0.13170731707317074), ('MURDER', 0.11219512195121951), ('Extortion', 0.0975609756097561), ('THEFT', 0.09268292682926829)]","[('SNATCHING', 0.06829268292682927), ('Industrial Hazards', 0.06829268292682927), ('Drug Possession', 0.06341463414634146), ('Political Violence', 0.04878048780487805), ('Kidnapping', 0.03414634146341464)]"
33,"[('SNATCHING', 0.4157814871016692), ('ROBBERY', 0.37329286798179057), ('GANG_VIOLENCE', 0.0409711684370258), ('MURDER', 0.030349013657056147), ('THEFT', 0.02276176024279211)]","[('Kidnapping', 0.018209408194233688), ('Drug Possession', 0.01669195751138088), ('ASSAULT', 0.015174506828528073), ('Political Violence', 0.015174506828528073), ('Industrial Hazards', 0.012139605462822459)]"
34,"[('Industrial Theft', 0.6939597315436241), ('GANG_VIOLENCE', 0.03758389261744966), ('ROBBERY', 0.036241610738255034), ('MURDER', 0.03355704697986577), ('Industrial Hazards', 0.02953020134228188)]","[('Kidnapping', 0.020134228187919462), ('Extortion', 0.01879194630872483), ('ASSAULT', 0.0174496644295302), ('Political Violence', 0.0174496644295302), ('Drug Possession', 0.016107382550335572)]"
35,"[('ROBBERY', 0.16230366492146597), ('GANG_VIOLENCE', 0.1518324607329843), ('MURDER', 0.09947643979057591), ('ASSAULT', 0.08376963350785341), ('THEFT', 0.08376963350785341)]","[('Drug Possession', 0.07853403141361257), ('Extortion', 0.05759162303664921), ('SNATCHING', 0.041884816753926704), ('Political Violence', 0.041884816753926704), ('Industrial Hazards', 0.041884816753926704)]"
36,"[('GANG_VIOLENCE', 0.15714285714285714), ('ROBBERY', 0.14821428571428572), ('MURDER', 0.11428571428571428), ('THEFT', 0.08928571428571429), ('Extortion', 0.08928571428571429)]","[('ASSAULT', 0.05892857142857143), ('Drug Possession', 0.055357142857142855), ('Political Violence', 0.05357142857142857), ('Kidnapping', 0.05178571428571429), ('Land Grabbing', 0.05)]"
37,"[('ROBBERY', 0.14181818181818182), ('GANG_VIOLENCE', 0.12), ('MURDER', 0.11272727272727273), ('SNATCHING', 0.08727272727272728), ('Kidnapping', 0.07636363636363637)]","[('Political Violence', 0.07272727272727272), ('THEFT', 0.06545454545454546), ('Industrial Hazards', 0.06545454545454546), ('Extortion', 0.06181818181818182), ('Land Grabbing', 0.04363636363636364)]"
38,"[('GANG_VIOLENCE', 0.1497326203208556), ('MURDER', 0.13368983957219252), ('Industrial Hazards', 0.0962566844919786), ('Political Violence', 0.09090909090909091), ('SNATCHING', 0.0855614973262032)]","[('ROBBERY', 0.06951871657754011), ('THEFT', 0.06417112299465241), ('Kidnapping', 0.058823529411764705), ('Extortion', 0.0481283422459893), ('Drug Possession', 0.0427807486631016)]"
39,"[('MURDER', 0.15748031496062992), ('GANG_VIOLENCE', 0.14435695538057744), ('ASSAULT', 0.09186351706036745), ('SNATCHING', 0.08136482939632546), ('Extortion', 0.07874015748031496)]","[('Drug Possession', 0.07086614173228346), ('Land Grabbing', 0.06036745406824147), ('Kidnapping', 0.05774278215223097), ('Political Violence', 0.05511811023622047), ('Industrial Hazards', 0.05249343832020997)]"
40,"[('MURDER', 0.14717741935483872), ('ROBBERY', 0.14717741935483872), ('GANG_VIOLENCE', 0.12701612903225806), ('Land Grabbing', 0.07661290322580645), ('Kidnapping', 0.07661290322580645)]","[('ASSAULT', 0.06653225806451613), ('Industrial Hazards', 0.06048387096774194), ('Political Violence', 0.05443548387096774), ('THEFT', 0.05443548387096774), ('Drug Possession', 0.04838709677419355)]"
41,"[('MURDER', 0.14705882352941177), ('GANG_VIOLENCE', 0.1411764705882353), ('ROBBERY', 0.13529411764705881), ('Industrial Hazards', 0.09215686274509804), ('Political Violence', 0.07450980392156863)]","[('Land Grabbing', 0.06274509803921569), ('ASSAULT', 0.058823529411764705), ('Kidnapping', 0.052941176470588235), ('Drug Possession', 0.052941176470588235), ('THEFT', 0.050980392156862744)]"
42,"[('MURDER', 0.11808118081180811), ('GANG_VIOLENCE', 0.11808118081180811), ('ROBBERY', 0.1033210332103321), ('ASSAULT', 0.08856088560885608), ('THEFT', 0.08118081180811808)]","[('Kidnapping', 0.07011070110701106), ('Political Violence', 0.06642066420664207), ('SNATCHING', 0.06642066420664207), ('Land Grabbing', 0.06642066420664207), ('Extortion', 0.06273062730627306)]"
43,"[('ROBBERY', 0.12857142857142856), ('THEFT', 0.11428571428571428), ('SNATCHING', 0.10714285714285714), ('MURDER', 0.10357142857142858), ('GANG_VIOLENCE', 0.09642857142857143)]","[('Drug Possession', 0.06785714285714285), ('Kidnapping', 0.06428571428571428), ('Extortion', 0.060714285714285714), ('Land Grabbing', 0.05357142857142857), ('Industrial Hazards', 0.04285714285714286)]"
44,"[('ROBBERY', 0.1511627906976744), ('THEFT', 0.13372093023255813), ('GANG_VIOLENCE', 0.13372093023255813), ('MURDER', 0.12790697674418605), ('SNATCHING', 0.09302325581395349)]","[('Kidnapping', 0.05232558139534884), ('Extortion', 0.046511627906976744), ('Land Grabbing', 0.040697674418604654), ('ASSAULT', 0.03488372093023256), ('Drug Possession', 0.029069767441860465)]"
45,"[('GANG_VIOLENCE', 0.1606425702811245), ('SNATCHING', 0.14056224899598393), ('ROBBERY', 0.12048192771084337), ('THEFT', 0.12048192771084337), ('MURDER', 0.10040160642570281)]","[('Industrial Hazards', 0.060240963855421686), ('Kidnapping', 0.05622489959839357), ('Extortion', 0.04819277108433735), ('ASSAULT', 0.0321285140562249), ('Drug Possession', 0.020080321285140562)]"
46,"[('GANG_VIOLENCE', 0.15555555555555556), ('ROBBERY', 0.11851851851851852), ('SNATCHING', 0.11481481481481481), ('THEFT', 0.10740740740740741), ('MURDER', 0.08518518518518518)]","[('Kidnapping', 0.06296296296296296), ('Political Violence', 0.06296296296296296), ('ASSAULT', 0.05185185185185185), ('Industrial Hazards', 0.04814814814814815), ('Extortion', 0.044444444444444446)]"
47,"[('GANG_VIOLENCE', 0.1324200913242009), ('SNATCHING', 0.1278538812785388), ('THEFT', 0.1187214611872146), ('ROBBERY', 0.1141552511415525), ('MURDER', 0.091324200913242)]","[('Political Violence', 0.0639269406392694), ('Kidnapping', 0.0639269406392694), ('ASSAULT', 0.0502283105022831), ('Industrial Hazards', 0.0502283105022831), ('Drug Possession', 0.045662100456621)]"
48,"[('SNATCHING', 0.1206896551724138), ('MURDER', 0.11637931034482758), ('GANG_VIOLENCE', 0.11206896551724138), ('Political Violence', 0.10775862068965517), ('ROBBERY', 0.09913793103448276)]","[('Industrial Hazards', 0.07327586206896551), ('ASSAULT', 0.06896551724137931), ('Extortion', 0.06465517241379311), ('Land Grabbing', 0.04310344827586207), ('Drug Possession', 0.03017241379310345)]"
49,"[('GANG_VIOLENCE', 0.13679245283018868), ('SNATCHING', 0.1320754716981132), ('THEFT', 0.12735849056603774), ('MURDER', 0.09905660377358491), ('ROBBERY', 0.08490566037735849)]","[('ASSAULT', 0.07547169811320754), ('Political Violence', 0.0660377358490566), ('Extortion', 0.05188679245283019), ('Industrial Hazards', 0.0330188679245283), ('Kidnapping', 0.02830188679245283)]"
50,"[('GANG_VIOLENCE', 0.1407035175879397), ('MURDER', 0.1407035175879397), ('SNATCHING', 0.1306532663316583), ('ROBBERY', 0.12562814070351758), ('THEFT', 0.08542713567839195)]","[('ASSAULT', 0.06030150753768844), ('Extortion', 0.05025125628140704), ('Political Violence', 0.05025125628140704), ('Kidnapping', 0.04522613065326633), ('Industrial Hazards', 0.04020100502512563)]"
51,"[('THEFT', 0.13885180240320427), ('SNATCHING', 0.1348464619492657), ('GANG_VIOLENCE', 0.11882510013351134), ('ROBBERY', 0.10013351134846461), ('MURDER', 0.08945260347129506)]","[('ASSAULT', 0.06275033377837116), ('Land Grabbing', 0.05740987983978638), ('Drug Possession', 0.05473965287049399), ('Political Violence', 0.0520694259012016), ('Extortion', 0.050734312416555405)]"
52,"[('SNATCHING', 0.13389121338912133), ('ROBBERY', 0.13389121338912133), ('GANG_VIOLENCE', 0.1297071129707113), ('THEFT', 0.1087866108786611), ('MURDER', 0.09205020920502092)]","[('ASSAULT', 0.06276150627615062), ('Political Violence', 0.05439330543933055), ('Kidnapping', 0.04602510460251046), ('Industrial Hazards', 0.03765690376569038), ('Drug Possession', 0.03765690376569038)]"
53,"[('ROBBERY', 0.15853658536585366), ('SNATCHING', 0.14634146341463414), ('MURDER', 0.12195121951219512), ('GANG_VIOLENCE', 0.11585365853658537), ('THEFT', 0.10365853658536585)]","[('Political Violence', 0.06097560975609756), ('ASSAULT', 0.04878048780487805), ('Kidnapping', 0.042682926829268296), ('Industrial Hazards', 0.036585365853658534), ('Land Grabbing', 0.024390243902439025)]"
54,"[('MURDER', 0.13853503184713375), ('THEFT', 0.1321656050955414), ('GANG_VIOLENCE', 0.11146496815286625), ('ROBBERY', 0.10509554140127389), ('SNATCHING', 0.09713375796178345)]","[('Drug Possession', 0.06050955414012739), ('Land Grabbing', 0.05573248407643312), ('Extortion', 0.054140127388535034), ('Political Violence', 0.052547770700636945), ('Industrial Hazards', 0.04777070063694268)]"
55,"[('MURDER', 0.14121037463976946), ('ROBBERY', 0.13256484149855907), ('GANG_VIOLENCE', 0.1239193083573487), ('THEFT', 0.10230547550432277), ('SNATCHING', 0.0936599423631124)]","[('Political Violence', 0.06195965417867435), ('Drug Possession', 0.05475504322766571), ('Land Grabbing', 0.053314121037463975), ('Kidnapping', 0.053314121037463975), ('ASSAULT', 0.04610951008645533)]"
56,"[('ROBBERY', 0.15246636771300448), ('MURDER', 0.13004484304932734), ('THEFT', 0.09865470852017937), ('SNATCHING', 0.09417040358744394), ('GANG_VIOLENCE', 0.08968609865470852)]","[('Extortion', 0.07174887892376682), ('Land Grabbing', 0.06726457399103139), ('ASSAULT', 0.06726457399103139), ('Industrial Hazards', 0.04484304932735426), ('Drug Possession', 0.04035874439461883)]"
57,"[('SNATCHING', 0.16883116883116883), ('THEFT', 0.1341991341991342), ('ROBBERY', 0.11688311688311688), ('MURDER', 0.09956709956709957), ('GANG_VIOLENCE', 0.07792207792207792)]","[('Industrial Hazards', 0.06926406926406926), ('Political Violence', 0.06060606060606061), ('Drug Possession', 0.05194805194805195), ('Kidnapping', 0.05194805194805195), ('Land Grabbing', 0.021645021645021644)]"
58,"[('THEFT', 0.16847826086956522), ('ROBBERY', 0.14673913043478262), ('MURDER', 0.125), ('GANG_VIOLENCE', 0.11956521739130435), ('SNATCHING', 0.08695652173913043)]","[('Industrial Hazards', 0.05434782608695652), ('Extortion', 0.05434782608695652), ('Kidnapping', 0.04891304347826087), ('Drug Possession', 0.03260869565217391), ('Political Violence', 0.03260869565217391)]"
59,"[('MURDER', 0.1506849315068493), ('THEFT', 0.1278538812785388), ('GANG_VIOLENCE', 0.1141552511415525), ('SNATCHING', 0.1004566210045662), ('ROBBERY', 0.0958904109589041)]","[('Industrial Hazards', 0.0639269406392694), ('Extortion', 0.0593607305936073), ('ASSAULT', 0.0502283105022831), ('Land Grabbing', 0.0410958904109589), ('Kidnapping', 0.0365296803652968)]"
60,"[('THEFT', 0.12759643916913946), ('MURDER', 0.12314540059347182), ('ROBBERY', 0.12166172106824925), ('SNATCHING', 0.1172106824925816), ('GANG_VIOLENCE', 0.1142433234421365)]","[('Drug Possession', 0.06231454005934718), ('Political Violence', 0.05341246290801187), ('Extortion', 0.04896142433234421), ('Industrial Hazards', 0.04599406528189911), ('Kidnapping', 0.037091988130563795)]"
61,"[('ROBBERY', 0.13656387665198239), ('MURDER', 0.11013215859030837), ('SNATCHING', 0.11013215859030837), ('GANG_VIOLENCE', 0.10572687224669604), ('Land Grabbing', 0.10572687224669604)]","[('Political Violence', 0.07048458149779736), ('Extortion', 0.05286343612334802), ('Kidnapping', 0.05286343612334802), ('Drug Possession', 0.048458149779735685), ('Industrial Hazards', 0.039647577092511016)]"
62,"[('SNATCHING', 0.13596491228070176), ('ROBBERY', 0.12280701754385964), ('MURDER', 0.10526315789473684), ('GANG_VIOLENCE', 0.10526315789473684), ('Political Violence', 0.10087719298245613)]","[('Extortion', 0.06578947368421052), ('Drug Possession', 0.06578947368421052), ('Industrial Hazards', 0.05701754385964912), ('Kidnapping', 0.05263157894736842), ('Land Grabbing', 0.03070175438596491)]"
63,"[('THEFT', 0.12301587301587301), ('GANG_VIOLENCE', 0.11904761904761904), ('MURDER', 0.11904761904761904), ('ROBBERY', 0.11507936507936507), ('SNATCHING', 0.10714285714285714)]","[('Drug Possession', 0.06746031746031746), ('Kidnapping', 0.05952380952380952), ('ASSAULT', 0.051587301587301584), ('Land Grabbing', 0.047619047619047616), ('Industrial Hazards', 0.04365079365079365)]"
64,"[('GANG_VIOLENCE', 0.1276595744680851), ('SNATCHING', 0.12340425531914893), ('MURDER', 0.12340425531914893), ('THEFT', 0.12340425531914893), ('ROBBERY', 0.09787234042553192)]","[('Extortion', 0.06382978723404255), ('Drug Possession', 0.05106382978723404), ('Land Grabbing', 0.05106382978723404), ('Political Violence', 0.04680851063829787), ('Industrial Hazards', 0.03404255319148936)]"
65,"[('GANG_VIOLENCE', 0.14948453608247422), ('SNATCHING', 0.13402061855670103), ('ROBBERY', 0.12886597938144329), ('THEFT', 0.1134020618556701), ('Political Violence', 0.09278350515463918)]","[('Industrial Hazards', 0.05670103092783505), ('Kidnapping', 0.05670103092783505), ('ASSAULT', 0.05154639175257732), ('Drug Possession', 0.041237113402061855), ('Land Grabbing', 0.020618556701030927)]"
66,"[('GANG_VIOLENCE', 0.1507537688442211), ('MURDER', 0.1407035175879397), ('Political Violence', 0.10050251256281408), ('SNATCHING', 0.09045226130653267), ('Drug Possession', 0.08542713567839195)]","[('Extortion', 0.06532663316582915), ('Kidnapping', 0.06030150753768844), ('ROBBERY', 0.06030150753768844), ('Industrial Hazards', 0.05527638190954774), ('Land Grabbing', 0.05527638190954774)]"
67,"[('GANG_VIOLENCE', 0.17680608365019013), ('MURDER', 0.1311787072243346), ('Drug Possession', 0.0817490494296578), ('Kidnapping', 0.07984790874524715), ('ROBBERY', 0.07224334600760456)]","[('ASSAULT', 0.06844106463878327), ('Extortion', 0.06653992395437262), ('Industrial Hazards', 0.06653992395437262), ('SNATCHING', 0.06653992395437262), ('Land Grabbing', 0.049429657794676805)]"
68,"[('MURDER', 0.16972477064220184), ('GANG_VIOLENCE', 0.14220183486238533), ('Industrial Hazards', 0.10550458715596331), ('SNATCHING', 0.07339449541284404), ('ROBBERY', 0.07339449541284404)]","[('Land Grabbing', 0.06880733944954129), ('Drug Possession', 0.06422018348623854), ('THEFT', 0.05963302752293578), ('ASSAULT', 0.05963302752293578), ('Kidnapping', 0.045871559633027525)]"
69,"[('MURDER', 0.1430274135876043), ('GANG_VIOLENCE', 0.12693682955899882), ('Kidnapping', 0.07717520858164481), ('THEFT', 0.0765792610250298), ('Drug Possession', 0.07628128724672228)]","[('Extortion', 0.07210965435041716), ('Political Violence', 0.07121573301549464), ('Industrial Hazards', 0.07061978545887962), ('ASSAULT', 0.06853396901072706), ('ROBBERY', 0.06823599523241955)]"
